feature_name,source_table,time_availability,manual_leak_risk,notes
end_elo,elo,end-of-regular-season,2,soft_pattern;threshold_like
avg_margin,games,season-to-date,0,none
conf_winpct,games,season-to-date,0,none
conference_proxy,derived,season-to-date,0,none
d_ppp,team_stats,season-to-date,0,none
elo_diff,elo,pregame,0,none
home_favored,games,pregame,0,none
last10_winpct,games,season-to-date,0,none
league,derived,season-to-date,0,none
net_rating,team_stats,season-to-date,0,none
neutral,games,pregame,0,none
nonconf_winpct,games,season-to-date,0,none
o_ppp,team_stats,season-to-date,0,none
overall_winpct,games,season-to-date,0,none
pace,team_stats,season-to-date,0,none
pace_diff,team_stats,pregame,0,none
ppp_diff,team_stats,pregame,0,none
sos_proxy,games,season-to-date,0,none
winpct_diff,games,pregame,0,none
