task,league,feature,base_auc,auc_after_shuffle,auc_drop
selection,MBB,overall_winpct,1.0,1.0,0.0
selection,MBB,end_elo,1.0,0.5073778664007976,0.49262213359920237
selection,MBB,sos_proxy,1.0,1.0,0.0
selection,MBB,last10_winpct,1.0,1.0,0.0
selection,MBB,conference_proxy,1.0,0.998753738783649,0.0012462612163509634
selection,MBB,league,1.0,1.0,0.0
selection,WBB,overall_winpct,0.9999498092752459,0.9999623569564344,-1.2547681188523896e-05
selection,WBB,end_elo,0.9999498092752459,0.5422480425617345,0.45770176671351137
selection,WBB,sos_proxy,0.9999498092752459,1.0,-5.0190724754095584e-05
selection,WBB,last10_winpct,0.9999498092752459,0.9999372615940574,1.2547681188523896e-05
selection,WBB,conference_proxy,0.9999498092752459,0.999636117245533,0.00031369202971287535
selection,WBB,league,0.9999498092752459,0.9999498092752459,0.0
selection,Combined,overall_winpct,0.9999312224889956,0.9999155912364946,1.5631252500925008e-05
selection,Combined,end_elo,0.9999312224889956,0.5041141456582632,0.4958170768307324
selection,Combined,sos_proxy,0.9999312224889956,0.9997592787114846,0.00017194377751095224
selection,Combined,last10_winpct,0.9999312224889956,0.999937474989996,-6.252501000392208e-06
selection,Combined,conference_proxy,0.9999312224889956,0.9994404011604643,0.0004908213285312879
selection,Combined,league,0.9999312224889956,0.9971926270508202,0.0027385954381753397
bracket,MBB,elo_diff,0.8403566658551704,0.8248523254599625,0.015504340395207983
bracket,MBB,winpct_diff,0.8403566658551704,0.572836262318442,0.26752040353672846
bracket,MBB,ppp_diff,0.8403566658551704,0.8403188711473263,3.7794707844152065e-05
bracket,MBB,pace_diff,0.8403566658551704,0.8377402359028456,0.002616429952324806
bracket,MBB,home_favored,0.8403566658551704,0.840663592855635,-0.0003069270004645297
bracket,MBB,neutral,0.8403566658551704,0.8334961704873238,0.0068604953678466085
bracket,MBB,league,0.8403566658551704,0.8403566658551704,0.0
bracket,WBB,elo_diff,0.8801112441075474,0.865025797015644,0.015085447091903403
bracket,WBB,winpct_diff,0.8801112441075474,0.6027698728141453,0.2773413712934021
bracket,WBB,ppp_diff,0.8801112441075474,0.877985128897959,0.002126115209588386
bracket,WBB,pace_diff,0.8801112441075474,0.8793265163402819,0.0007847277672654585
bracket,WBB,home_favored,0.8801112441075474,0.8802422238962168,-0.0001309797886693831
bracket,WBB,neutral,0.8801112441075474,0.8773746394868525,0.0027366046206949157
bracket,WBB,league,0.8801112441075474,0.8801112441075474,0.0
bracket,Combined,elo_diff,0.8611671446594908,0.8439315022676351,0.01723564239185571
bracket,Combined,winpct_diff,0.8611671446594908,0.5822335969157677,0.27893354774372314
bracket,Combined,ppp_diff,0.8611671446594908,0.8595432501287255,0.0016238945307653907
bracket,Combined,pace_diff,0.8611671446594908,0.8594523424831604,0.0017148021763304655
bracket,Combined,home_favored,0.8611671446594908,0.8614549100240508,-0.0002877653645599887
bracket,Combined,neutral,0.8611671446594908,0.8555349621056244,0.005632182553866438
bracket,Combined,league,0.8611671446594908,0.8607727112677854,0.0003944333917054177
