team_code,final_four_prob,entropy,league
None,0.9846666666666667,0.23160918936056676,MBB
CONN,0.269,0.23160918936056676,MBB
HPU,0.8183333333333334,0.23160918936056676,MBB
GONZ,0.143,0.23160918936056676,MBB
SCL,0.03233333333333333,0.23160918936056676,MBB
NEB,0.012333333333333333,0.23160918936056676,MBB
LIB,0.19033333333333333,0.23160918936056676,MBB
UVM,0.041,0.23160918936056676,MBB
SFA,0.059666666666666666,0.23160918936056676,MBB
NDSU,0.10433333333333333,0.23160918936056676,MBB
NAVY,0.364,0.23160918936056676,MBB
MIA,0.043,0.23160918936056676,MBB
UTM,0.093,0.23160918936056676,MBB
BELM,0.04733333333333333,0.23160918936056676,MBB
DUKE,0.06666666666666667,0.23160918936056676,MBB
VAND,0.027333333333333334,0.23160918936056676,MBB
SLU,0.19466666666666665,0.23160918936056676,MBB
MICH,0.007333333333333333,0.23160918936056676,MBB
UNCW,0.12666666666666668,0.23160918936056676,MBB
TULS,0.05266666666666667,0.23160918936056676,MBB
CCSU,0.01633333333333333,0.23160918936056676,MBB
SIUE,0.021666666666666667,0.23160918936056676,MBB
APSU,0.006,0.23160918936056676,MBB
MIO,0.036333333333333336,0.23160918936056676,MBB
ARIZ,0.022,0.23160918936056676,MBB
TXT,0.005666666666666667,0.23160918936056676,MBB
LIU,0.0033333333333333335,0.23160918936056676,MBB
KENT,0.005,0.23160918936056676,MBB
UCI,0.021,0.23160918936056676,MBB
MERR,0.002,0.23160918936056676,MBB
CLEM,0.0033333333333333335,0.23160918936056676,MBB
ETSU,0.009666666666666667,0.23160918936056676,MBB
VCU,0.008,0.23160918936056676,MBB
RMU,0.004333333333333333,0.23160918936056676,MBB
STMN,0.012666666666666666,0.23160918936056676,MBB
FLA,0.036333333333333336,0.23160918936056676,MBB
ALA,0.005,0.23160918936056676,MBB
STJN,0.017666666666666667,0.23160918936056676,MBB
UCSB,0.002,0.23160918936056676,MBB
GMU,0.0036666666666666666,0.23160918936056676,MBB
SMC,0.006666666666666667,0.23160918936056676,MBB
SIE,0.007,0.23160918936056676,MBB
MTST,0.002,0.23160918936056676,MBB
ISU,0.006,0.23160918936056676,MBB
WISC,0.0006666666666666666,0.23160918936056676,MBB
TSU,0.002,0.23160918936056676,MBB
WINT,0.006,0.23160918936056676,MBB
WOFF,0.0033333333333333335,0.23160918936056676,MBB
UNC,0.004666666666666667,0.23160918936056676,MBB
USCD,0.004666666666666667,0.23160918936056676,MBB
USF,0.009666666666666667,0.23160918936056676,MBB
HOFS,0.0026666666666666666,0.23160918936056676,MBB
UVA,0.004,0.23160918936056676,MBB
HOW,0.0006666666666666666,0.23160918936056676,MBB
APP,0.0033333333333333335,0.23160918936056676,MBB
MURR,0.0016666666666666668,0.23160918936056676,MBB
CCAR,0.0016666666666666668,0.23160918936056676,MBB
PUR,0.0013333333333333333,0.23160918936056676,MBB
UGA,0.0003333333333333333,0.23160918936056676,MBB
ARST,0.0006666666666666666,0.23160918936056676,MBB
FAIR,0.0003333333333333333,0.23160918936056676,MBB
PFW,0.001,0.23160918936056676,MBB
USA,0.0003333333333333333,0.23160918936056676,MBB
TCU,0.0003333333333333333,0.23160918936056676,MBB
HOU,0.0006666666666666666,0.23160918936056676,MBB
NM,0.0003333333333333333,0.23160918936056676,MBB
UVU,0.0003333333333333333,0.23160918936056676,MBB
COFC,0.0003333333333333333,0.23160918936056676,MBB
ILL,0.001,0.23160918936056676,MBB
IOWA,0.0013333333333333333,0.23160918936056676,MBB
TROY,0.0003333333333333333,0.23160918936056676,MBB
HAW,0.0016666666666666668,0.23160918936056676,MBB
AMER,0.0016666666666666668,0.23160918936056676,MBB
FURM,0.0003333333333333333,0.23160918936056676,MBB
LIP,0.0006666666666666666,0.23160918936056676,MBB
USU,0.0003333333333333333,0.23160918936056676,MBB
TXST,0.0003333333333333333,0.23160918936056676,MBB
